"Step","imagenette-xresnet18-bs-64-lr-1e-1 - accuracy","imagenette-xresnet18-bs-64-lr-1e-1 - accuracy__MIN","imagenette-xresnet18-bs-64-lr-1e-1 - accuracy__MAX","imagenette-xresnet18-bs-64-lr-1e-2 - accuracy","imagenette-xresnet18-bs-64-lr-1e-2 - accuracy__MIN","imagenette-xresnet18-bs-64-lr-1e-2 - accuracy__MAX","imagenette-xresnet18-bs-64-lr-1e-3 - accuracy","imagenette-xresnet18-bs-64-lr-1e-3 - accuracy__MIN","imagenette-xresnet18-bs-64-lr-1e-3 - accuracy__MAX","imagenette-xresnet18-bs-64-lr-1e-4 - accuracy","imagenette-xresnet18-bs-64-lr-1e-4 - accuracy__MIN","imagenette-xresnet18-bs-64-lr-1e-4 - accuracy__MAX","imagenette-xresnet34-bs-64-lr-1e-2 - accuracy","imagenette-xresnet34-bs-64-lr-1e-2 - accuracy__MIN","imagenette-xresnet34-bs-64-lr-1e-2 - accuracy__MAX","imagenette-xresnet34-bs-64-lr-1e-3 - accuracy","imagenette-xresnet34-bs-64-lr-1e-3 - accuracy__MIN","imagenette-xresnet34-bs-64-lr-1e-3 - accuracy__MAX","imagenette-xresnet34-bs-64-lr-1e-4 - accuracy","imagenette-xresnet34-bs-64-lr-1e-4 - accuracy__MIN","imagenette-xresnet34-bs-64-lr-1e-4 - accuracy__MAX","imagenette-xse_resnext50-bs-64-lr-1e-2 - accuracy","imagenette-xse_resnext50-bs-64-lr-1e-2 - accuracy__MIN","imagenette-xse_resnext50-bs-64-lr-1e-2 - accuracy__MAX","imagenette-xse_resnext50-bs-64-lr-1e-3 - accuracy","imagenette-xse_resnext50-bs-64-lr-1e-3 - accuracy__MIN","imagenette-xse_resnext50-bs-64-lr-1e-3 - accuracy__MAX","imagenette-xse_resnext50-bs-64-lr-1e-4 - accuracy","imagenette-xse_resnext50-bs-64-lr-1e-4 - accuracy__MIN","imagenette-xse_resnext50-bs-64-lr-1e-4 - accuracy__MAX"
"146","0.3258598744869232","0.3258598744869232","0.3258598744869232","0.3587261140346527","0.3587261140346527","0.3587261140346527","0.4458598792552948","0.4458598792552948","0.4458598792552948","0.3011465072631836","0.3011465072631836","0.3011465072631836","0.33554139733314514","0.33554139733314514","0.33554139733314514","0.5383439660072327","0.5383439660072327","0.5383439660072327","0.37197452783584595","0.37197452783584595","0.37197452783584595","0.22547771036624908","0.22547771036624908","0.22547771036624908","0.5115923285484314","0.5115923285484314","0.5115923285484314","0.49859872460365295","0.49859872460365295","0.49859872460365295"
"293","0.3222929835319519","0.3222929835319519","0.3222929835319519","0.505987286567688","0.505987286567688","0.505987286567688","0.584203839302063","0.584203839302063","0.584203839302063","0.5054777264595032","0.5054777264595032","0.5054777264595032","0.3954140245914459","0.3954140245914459","0.3954140245914459","0.5788534879684448","0.5788534879684448","0.5788534879684448","0.5253503322601318","0.5253503322601318","0.5253503322601318","0.5273885130882263","0.5273885130882263","0.5273885130882263","0.5928662419319153","0.5928662419319153","0.5928662419319153","0.5814012885093689","0.5814012885093689","0.5814012885093689"
"440","0.5475159287452698","0.5475159287452698","0.5475159287452698","0.6634395122528076","0.6634395122528076","0.6634395122528076","0.6481528878211975","0.6481528878211975","0.6481528878211975","0.5791082978248596","0.5791082978248596","0.5791082978248596","0.6815286874771118","0.6815286874771118","0.6815286874771118","0.7108280062675476","0.7108280062675476","0.7108280062675476","0.6196178197860718","0.6196178197860718","0.6196178197860718","0.6802547574043274","0.6802547574043274","0.6802547574043274","0.6736305952072144","0.6736305952072144","0.6736305952072144","0.6308280229568481","0.6308280229568481","0.6308280229568481"
"587","0.7075158953666687","0.7075158953666687","0.7075158953666687","0.7615286707878113","0.7615286707878113","0.7615286707878113","0.7584713101387024","0.7584713101387024","0.7584713101387024","0.6104458570480347","0.6104458570480347","0.6104458570480347","0.7622929811477661","0.7622929811477661","0.7622929811477661","0.7554140090942383","0.7554140090942383","0.7554140090942383","0.6420382261276245","0.6420382261276245","0.6420382261276245","0.7808917164802551","0.7808917164802551","0.7808917164802551","0.7126114368438721","0.7126114368438721","0.7126114368438721","0.6504458785057068","0.6504458785057068","0.6504458785057068"
"734","0.7373248338699341","0.7373248338699341","0.7373248338699341","0.7870063781738281","0.7870063781738281","0.7870063781738281","0.7742674946784973","0.7742674946784973","0.7742674946784973","0.6170700788497925","0.6170700788497925","0.6170700788497925","0.7928662300109863","0.7928662300109863","0.7928662300109863","0.7775796055793762","0.7775796055793762","0.7775796055793762","0.6445859670639038","0.6445859670639038","0.6445859670639038","0.7926114797592163","0.7926114797592163","0.7926114797592163","0.7526114583015442","0.7526114583015442","0.7526114583015442","0.6532484292984009","0.6532484292984009","0.6532484292984009"
